,ID,dict_param,wallet,algo_percentage,perf_algo_vs_hold,nb_Good_trade,Average_Good_trade,Best_trade,nb_Bad_trade,Average_Bad_trade,Worst_trade,worst_draw_back,total_fee
33,418.0,"{'stoch_top': 0.274, 'stoch_bottom': 0.8, 'trix_length': 5, 'trix_signal': 24, 'signal_stoch_rsi': 10}",3331.8362278596046,233.18362278596047,-606.3152069996341,349.0,2.25,25.1,854.0,-0.73,-12.74,-47.0,712.1
34,419.0,"{'stoch_top': 0.274, 'stoch_bottom': 0.8, 'trix_length': 5, 'trix_signal': 33, 'signal_stoch_rsi': 10}",2951.3696393939895,195.13696393939895,-523.7039081468698,325.0,2.33,25.1,840.0,-0.72,-12.74,-42.0,616.16
35,420.0,"{'stoch_top': 0.274, 'stoch_bottom': 0.8, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 11}",2965.0381410120667,196.50381410120667,-526.6717710454079,319.0,2.34,24.8,754.0,-0.79,-13.26,-38.0,674.01
0,422.0,"{'stoch_top': 0.518, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 10}",5379.642906735252,437.96429067352517,-1050.958638696323,426.0,1.76,23.67,1218.0,-0.45,-11.62,-40.0,1288.65
1,423.0,"{'stoch_top': 0.574, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 16}",2826.8519945572407,182.68519945572407,-496.6671993216988,388.0,1.74,24.14,1180.0,-0.46,-11.97,-38.0,877.69
2,424.0,"{'stoch_top': 0.276, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 16}",1651.9702089901475,65.19702089901475,-241.5632999344224,230.0,1.19,13.66,492.0,-0.44,-11.15,-34.0,434.18
3,425.0,"{'stoch_top': 0.518, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 10}",5379.642906735252,437.96429067352517,-1050.958638696323,426.0,1.76,23.67,1218.0,-0.45,-11.62,-40.0,1288.65
4,426.0,"{'stoch_top': 0.518, 'stoch_bottom': 0.188, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 10}",4802.648217009238,380.2648217009238,-925.6748892305757,423.0,1.75,23.67,1221.0,-0.45,-11.62,-40.0,1206.09
5,427.0,"{'stoch_top': 0.518, 'stoch_bottom': 0.258, 'trix_length': 5, 'trix_signal': 25, 'signal_stoch_rsi': 10}",4910.837527777147,391.0837527777148,-949.1662016229911,437.0,1.77,23.67,1197.0,-0.49,-21.05,-37.0,1366.73
6,428.0,"{'stoch_top': 0.518, 'stoch_bottom': 0.2, 'trix_length': 5, 'trix_signal': 24, 'signal_stoch_rsi': 10}",5744.0866526598165,474.4086652659816,-1130.0908729642897,417.0,1.82,23.67,1207.0,-0.46,-11.62,-40.0,1330.52
